gene,Species,labs,chrMark,chr,dN,dS,dNdS,RPKM,Tau,GC3
ENSG00000047648,Oran,Oran-X,X,X,6.37725,12.059,0.5288373829,29.6,0.6984683099,0.628959
ENSG00000169933,Oran,Oran-X,X,X,2.03205,15.1332,0.1342776148,5.93,0.9401168224,0.563122
ENSG00000046653,Oran,Oran-X,X,X,21.089,14.6101,1.4434535013,20.8,0.9365345918,0.587156
ENSG00000130150,Oran,Oran-X,X,X,1.70312,2.70796,0.6289310034,25.5,0.3800138313,0.396917
ENSG00000165197,Oran,Oran-X,X,X,7.66027,9.03965,0.8474078089,1.82,0.7125221239,0.508475
ENSG00000102010,Oran,Oran-X,X,X,2.07612,14.5412,0.1427750117,9.15,0.5659119107,0.506154
ENSG00000130234,Oran,Oran-X,X,X,14.3914,15.0412,0.9567986597,15.5,0.8762931034,0.439601
ENSG00000126010,Oran,Oran-X,X,X,1.02383,6.1941,0.1652911642,1.69,0.823283859,0.680519
ENSG00000169891,Oran,Oran-X,X,X,1.06528,9.71256,0.1096806609,163,0.6522611465,0.464098
ENSG00000188158,Oran,Oran-X,X,X,8.08352,11.7361,0.6887739539,9.13,0.8654718693,0.461592
ENSG00000102098,Oran,Oran-X,X,X,5.91848,8.17862,0.7236526456,3.86,0.8025356314,0.375199
ENSG00000008086,Oran,Oran-X,X,X,1.05132,10.4474,0.1006298218,7.19,0.896329588,0.469457
ENSG00000086717,Oran,Oran-X,X,X,5.16897,7.11256,0.7267383333,18,0.4358239171,0.429921
ENSG00000044446,Oran,Oran-X,X,X,3.6994,15.4904,0.2388188814,151,0.5042253521,0.602751
ENSG00000173698,Oran,Oran-X,X,X,5.20433,13.2794,0.3919100261,0.683,0.9798050139,0.474727
ENSG00000180815,Oran,Oran-X,X,X,6.10564,12.0438,0.506952955,76.6,0.2549292756,0.58
ENSG00000173681,Oran,Oran-X,X,X,1.23369,4.99336,0.2470661038,14.5,0.3678936605,0.360176
ENSG00000184368,Oran,Oran-X,X,X,6.59747,9.79301,0.6736917454,7.1,0.8975790754,0.479769
ENSG00000149970,Oran,Oran-X,X,X,1.01324,5.90198,0.1716779793,9.05,0.7420515046,0.412791
ENSG00000102174,Oran,Oran-X,X,X,5.03945,14.7943,0.3406345687,1.64,0.6648409091,0.488
ENSG00000157625,Oran,Oran-X,X,X,8.42205,7.41609,1.135645603,43.7,0.3545034642,0.353204
ENSG00000165168,Oran,Oran-X,X,X,4.71178,4.15268,1.1346359459,15.4,0.8369916435,0.541156
ENSG00000147041,Oran,Oran-X,X,X,6.07638,7.24391,0.8388259931,17.1,0.6311461794,0.466484
ENSG00000180182,Oran,Oran-X,X,X,4.06217,12.8079,0.3171612833,63.6,0.3166167665,0.421424
ENSG00000069535,Oran,Oran-X,X,X,2.10659,2.85441,0.7380124089,553,0.5772311213,0.544513
ENSG00000102218,Oran,Oran-X,X,X,3.02747,4.14691,0.7300544261,20.1,0.4436298077,0.424501
ENSG00000102221,Oran,Oran-X,X,X,2.04292,2.15805,0.9466509117,20.6,0.5247521246,0.545012
ENSG00000130988,Oran,Oran-X,X,X,13.2413,13.2047,1.0027717404,212,0.732406095,0.52349
ENSG00000050030,Oran,Oran-X,X,X,5.5221,8.7465,0.6313496827,2,0.8276910657,0.468029
ENSG00000131269,Oran,Oran-X,X,X,4.02311,5.31025,0.7576121652,99.4,0.6609722222,0.39575
ENSG00000102383,Oran,Oran-X,X,X,1.00903,3.06224,0.3295071582,6.14,0.6778828829,0.544379
ENSG00000085224,Oran,Oran-X,X,X,9.15593,16.3286,0.56072964,132,0.4332207207,0.311258
ENSG00000102158,Oran,Oran-X,X,X,2.94335,4.98227,0.5907648522,387,0.5534016393,0.407738
ENSG00000165240,Oran,Oran-X,X,X,6.42754,12.5307,0.512943411,11.7,0.4488329238,0.367755
ENSG00000165288,Oran,Oran-X,X,X,6.11407,11.1625,0.5477330347,12.5,0.5797991071,0.34352
ENSG00000072133,Oran,Oran-X,X,X,2.02687,5.15125,0.3934714875,20.1,0.5531931359,0.314865
ENSG00000165259,Oran,Oran-X,X,X,2.05377,7.24512,0.2834694249,10.1,0.5170634921,0.31259
ENSG00000102362,Oran,Oran-X,X,X,4.94408,3.22937,1.5309735335,23.7,0.5895833333,0.558867
ENSG00000102384,Oran,Oran-X,X,X,5.60812,5.20584,1.077274753,1.5,0.6369878184,0.409574
ENSG00000102385,Oran,Oran-X,X,X,1.06281,13.3383,0.0796810688,2.47,0.9358409786,0.625914
ENSG00000010671,Oran,Oran-X,X,X,1.00611,4.04997,0.2484240624,3.56,0.8396103896,0.528788
ENSG00000188828,Oran,Oran-X,X,X,3.00493,4.03886,0.7440044963,1.82,0.8055400891,0.664021
ENSG00000133138,Oran,Oran-X,X,X,10.1992,7.43677,1.3714556185,10.3,0.8123354123,0.373185
ENSG00000080561,Oran,Oran-X,X,X,1.03927,11.63,0.089361135,26.1,0.3800191816,0.539359
ENSG00000126016,Oran,Oran-X,X,X,4.05411,9.81873,0.4128955578,22.3,0.6425709516,0.518519
ENSG00000131725,Oran,Oran-X,X,X,7.62847,7.1891,1.0611161341,44.1,0.5013345196,0.310078
ENSG00000147251,Oran,Oran-X,X,X,4.06619,13.1192,0.3099419172,13.1,0.4902450091,0.380929
ENSG00000175556,Oran,Oran-X,X,X,5.63715,10.0742,0.5595630422,20.6,0.589781966,0.594987
ENSG00000125354,Oran,Oran-X,X,X,3.01557,4.77064,0.6321101571,111,0.6121038732,0.680095
ENSG00000177485,Oran,Oran-X,X,X,3.03292,6.5046,0.466273099,35,0.5161538462,0.32838
ENSG00000005893,Oran,Oran-X,X,X,19.0542,24.944,0.7638790892,225,0.3840317919,0.390244
ENSG00000102038,Oran,Oran-X,X,X,24.4867,37.0555,0.6608114855,193,0.3818933824,0.357831
ENSG00000122121,Oran,Oran-X,X,X,7.3117,10.9456,0.6680035813,0.295,0.9128259698,0.678407
ENSG00000122122,Oran,Oran-X,X,X,1.02993,6.34472,0.1623286764,10.8,0.8836590038,0.716535
ENSG00000188706,Oran,Oran-X,X,X,6.03496,4.33244,1.3929702431,144,0.3716160221,0.619835
ENSG00000085185,Oran,Oran-X,X,X,5.48385,21.8901,0.2505173572,41.8,0.3544607843,0.645579
ENSG00000171004,Oran,Oran-X,X,X,1.47866,6.92662,0.2134749705,30.2,0.6996089808,0.725702
ENSG00000129675,Oran,Oran-X,X,X,1.02016,4.08011,0.2500324746,42.8,0.8586138614,0.405405
ENSG00000101977,Oran,Oran-X,X,X,19.1196,15.0124,1.2735871679,2.84,0.7912319645,0.365801
ENSG00000179542,Oran,Oran-X,X,X,3.00549,9.2253,0.3257877793,6.54,0.7019582245,0.461814
ENSG00000102081,Oran,Oran-X,X,X,2.32639,8.56442,0.271634273,237,0.199742268,0.341751
ENSG00000013619,Oran,Oran-X,X,X,3.71995,4.58023,0.8121753711,12.1,0.8926602564,0.619916
ENSG00000063601,Oran,Oran-X,X,X,1.01006,8.67729,0.1164027018,72.9,0.5745238095,0.453074
ENSG00000102287,Oran,Oran-X,X,X,5.92251,3.94886,1.4998024746,68.8,0.6956378492,0.62173
ENSG00000147383,Oran,Oran-X,X,X,2.54856,6.37247,0.3999328361,199,0.7110849057,0.614865
ENSG00000160219,Oran,Oran-X,X,X,3.11676,6.35701,0.4902871004,3.39,0.8756594724,0.53286
ENSG00000185010,Oran,Oran-X,X,X,24.2259,15.543,1.5586373287,82.2,0.7191542948,0.408794
ENSG00000153207,Oran,Oran-A,A,1,36.4832,23.4593,1.5551700179,31.9,0.358,0.315883
ENSG00000153187,Oran,Oran-A,A,1,8.33114,11.9427,0.6975926717,1410,0.2534507042,0.436464
ENSG00000121644,Oran,Oran-A,A,1,1.00743,5.21043,0.1933487255,32.7,0.4533482143,0.359116
ENSG00000035687,Oran,Oran-A,A,1,1.01107,3.52109,0.2871468778,113,0.4512820513,0.343545
ENSG00000117020,Oran,Oran-A,A,1,11.198,12.533,0.8934812096,73.8,0.6746945899,0.360515
ENSG00000054282,Oran,Oran-A,A,1,4.11298,5.00504,0.8217676582,63.8,0.1996280223,0.463585
ENSG00000091483,Oran,Oran-A,A,1,1.01156,10.9645,0.0922577409,759,0.573659306,0.37451
ENSG00000182901,Oran,Oran-A,A,1,13.8539,15.9737,0.8672943651,16.8,0.8066624843,0.483296
ENSG00000198626,Oran,Oran-A,A,1,23.4166,95.4763,0.2452608658,97.5,0.9722348411,0.487611
ENSG00000077522,Oran,Oran-A,A,1,4.0113,20.7566,0.1932541938,19.5,0.9839134372,0.708005
ENSG00000116962,Oran,Oran-A,A,1,10.4812,23.4425,0.4471024848,133,0.8350881489,0.660033
ENSG00000116957,Oran,Oran-A,A,1,8.801,12.7425,0.6906807926,143,0.5545605307,0.416667
ENSG00000152904,Oran,Oran-A,A,1,2.12965,3.4981,0.608801921,102,0.2583216538,0.354839
ENSG00000135750,Oran,Oran-A,A,1,1.00831,5.18857,0.194332928,500,0.6429431217,0.711382
ENSG00000135766,Oran,Oran-A,A,1,2.15067,5.56969,0.3861381872,314,0.7221437222,0.682415
ENSG00000173409,Oran,Oran-A,A,1,2.05764,4.2519,0.4839342412,44.4,0.3816896024,0.538745
ENSG00000143643,Oran,Oran-A,A,1,3.02476,8.6675,0.3489772137,71.5,0.4225888325,0.437817
ENSG00000135773,Oran,Oran-A,A,1,5.10393,17.9571,0.2842290793,1.58,0.7839576547,0.635294
ENSG00000135744,Oran,Oran-A,A,1,4.79658,12.4924,0.3839598476,729,0.9644304775,0.732919
ENSG00000135775,Oran,Oran-A,A,1,5.76808,8.66374,0.6657725186,76.2,0.2903301887,0.45935
ENSG00000177614,Oran,Oran-A,A,1,1.13282,12.828,0.0883083879,80.1,0.7004469987,0.81686
ENSG00000135763,Oran,Oran-A,A,1,25.6807,28.4684,0.9020773911,28.8,0.5877471751,0.590939
ENSG00000069248,Oran,Oran-A,A,1,9.07954,17.3284,0.523968745,74.6,0.2912998446,0.406926
ENSG00000143816,Oran,Oran-A,A,1,14.9379,27.6433,0.54038049,4.86,0.5723372781,0.828025
ENSG00000143776,Oran,Oran-A,A,1,1.10177,14.5833,0.0755501155,130,0.54140625,0.36783
ENSG00000163050,Oran,Oran-A,A,1,5.82319,13.0116,0.4475383504,266,0.8413280983,0.79784
ENSG00000143801,Oran,Oran-A,A,1,1.01754,10.0097,0.1016553943,197,0.6699438202,0.806236
ENSG00000143799,Oran,Oran-A,A,1,1.08834,11.9193,0.0913090534,453,0.1378571429,0.638604
ENSG00000143751,Oran,Oran-A,A,1,7.31738,7.26611,1.0070560451,101,0.524378882,0.473333
ENSG00000143819,Oran,Oran-A,A,1,12.4541,15.3236,0.8127398262,392,0.9601489362,0.78481
ENSG00000143815,Oran,Oran-A,A,1,7.07417,11.5261,0.6137522666,65.3,0.7021613833,0.430894
ENSG00000143514,Oran,Oran-A,A,1,2.03376,9.96034,0.2041858009,87.6,0.4407821229,0.438721
ENSG00000162909,Oran,Oran-A,A,1,3.10164,8.69282,0.3568048113,400,0.6541044776,0.699213
ENSG00000143502,Oran,Oran-A,A,1,16.3524,33.9451,0.4817307947,14.5,0.8999596123,0.620283
ENSG00000162819,Oran,Oran-A,A,1,1.01302,2.81514,0.3598471124,64.7,0.2369424883,0.285012
ENSG00000143498,Oran,Oran-A,A,1,1.06196,7.5815,0.140072545,8.18,0.6391319773,0.384444
ENSG00000067704,Oran,Oran-A,A,1,10.2588,16.0889,0.6376321563,158,0.5632192846,0.394841
ENSG00000162813,Oran,Oran-A,A,1,1.07814,4.79509,0.2248424951,186,0.4011324042,0.390845
ENSG00000196660,Oran,Oran-A,A,1,2.02642,10.8817,0.1862227409,12.5,0.9736676428,0.698073
ENSG00000143353,Oran,Oran-A,A,1,2.79018,4.2366,0.6585894349,93.5,0.3672976986,0.323353
ENSG00000117724,Oran,Oran-A,A,1,35.5583,30.3982,1.1697501826,5.98,0.3269553073,0.406431
ENSG00000143499,Oran,Oran-A,A,1,2.0146,6.72405,0.2996110975,178,0.7399836468,0.604706
ENSG00000174606,Oran,Oran-A,A,1,2.14049,7.65538,0.2796059765,53.4,0.47425,0.378585
ENSG00000162769,Oran,Oran-A,A,1,2.622,7.79624,0.3363159677,13.9,0.3473086124,0.557554
ENSG00000203705,Oran,Oran-A,A,1,2.33987,6.83618,0.3422774122,64,0.1043279381,0.430894
ENSG00000117697,Oran,Oran-A,A,1,3.06259,3.77962,0.8102904525,63.5,0.3729547642,0.48227
ENSG00000123685,Oran,Oran-A,A,1,1.02003,4.64985,0.2193683667,54.9,0.450824332,0.752066
ENSG00000143476,Oran,Oran-A,A,1,1.1652,5.10531,0.2282329575,0.818,0.8559766764,0.419697
ENSG00000117650,Oran,Oran-A,A,1,2.00633,4.50796,0.4450638426,3.19,0.8797445255,0.434978
ENSG00000082512,Oran,Oran-A,A,1,2.02457,3.53473,0.5727651051,16.8,0.5116758242,0.519713
ENSG00000082497,Oran,Oran-A,A,1,1.01662,2.17051,0.4683783995,10.5,0.7669471154,0.436975
ENSG00000117597,Oran,Oran-A,A,1,4.09633,10.3767,0.394762304,40.5,0.6768965517,0.522546
ENSG00000009790,Oran,Oran-A,A,1,7.54335,2.27257,3.3193036958,14.6,0.8831666667,0.64
ENSG00000196878,Oran,Oran-A,A,1,21.3289,43.019,0.495801855,32.5,0.6228593669,0.693424
ENSG00000008118,Oran,Oran-A,A,1,1.03308,8.98805,0.1149392805,11.8,0.981852657,0.683438
ENSG00000174059,Oran,Oran-A,A,1,15.8732,8.59915,1.8459033742,34.3,0.8157739558,0.547401
ENSG00000123836,Oran,Oran-A,A,1,7.30267,8.7933,0.8304811618,122,0.704330254,0.597222
ENSG00000180667,Oran,Oran-A,A,1,2.08388,10.3714,0.2009256224,63.9,0.3617243437,0.484241
ENSG00000182795,Oran,Oran-A,A,1,8.52045,7.54093,1.1298937929,3.39,0.9244751908,0.59799
ENSG00000162877,Oran,Oran-A,A,1,8.45184,4.79676,1.7619893428,8.02,0.6173664122,0.629482
ENSG00000158715,Oran,Oran-A,A,1,4.8895,13.7835,0.3547357348,24.4,0.9409779536,0.77396
ENSG00000163545,Oran,Oran-A,A,1,3.05912,8.3333,0.3670958684,23,0.9205993151,0.757188
ENSG00000184144,Oran,Oran-A,A,1,6.06483,15.4103,0.3935569067,4.8,0.7469222561,0.73436
ENSG00000163531,Oran,Oran-A,A,1,2.05317,26.7025,0.0768905533,54.4,0.7245471939,0.707063
ENSG00000198625,Oran,Oran-A,A,1,2.06664,7.47219,0.2765775496,85.9,0.4049959872,0.376278
ENSG00000158615,Oran,Oran-A,A,1,14.3809,9.54843,1.506101003,135,0.399017199,0.471248
ENSG00000143845,Oran,Oran-A,A,1,4.61281,5.66222,0.8146645662,106,0.7460517132,0.730594
ENSG00000143842,Oran,Oran-A,A,1,1.55127,11.2444,0.1379593398,58.3,0.7641055046,0.775578
ENSG00000058668,Oran,Oran-A,A,1,23.9867,38.5718,0.621871419,119,0.5646292585,0.597096
ENSG00000188783,Oran,Oran-A,A,1,5.13065,9.08562,0.5647000425,295,0.6333662389,0.771053
ENSG00000117139,Oran,Oran-A,A,1,7.29429,12.6148,0.5782327108,54.5,0.3267933783,0.459985
ENSG00000143851,Oran,Oran-A,A,1,4.63811,3.81635,1.2153261624,5.69,0.8534902411,0.712941
ENSG00000170075,Oran,Oran-A,A,1,1.02913,10.3937,0.0990147878,1.76,0.7553467742,0.840249
ENSG00000176393,Oran,Oran-A,A,1,12.2696,18.7062,0.6559108745,109,0.4509052925,0.700704
ENSG00000134375,Oran,Oran-A,A,1,1.00336,3.11653,0.3219478073,450,0.4075316928,0.401163
ENSG00000134369,Oran,Oran-A,A,1,4.17235,21.611,0.1930660312,34,0.6769510926,0.675583
ENSG00000159166,Oran,Oran-A,A,1,26.0457,24.2312,1.0748827957,78.5,0.9215963139,0.650407
ENSG00000081277,Oran,Oran-A,A,1,4.02932,13.6597,0.2949786599,1.34,0.8937535331,0.795115
ENSG00000116857,Oran,Oran-A,A,1,2.00489,2.10241,0.9536151369,392,0.7250177809,0.722826
ENSG00000081248,Oran,Oran-A,A,1,11.5055,36.7653,0.3129445428,0.833,0.8105888343,0.777038
ENSG00000116852,Oran,Oran-A,A,1,1.10405,35.9715,0.0306923537,17.3,0.9405595238,0.791589
ENSG00000118200,Oran,Oran-A,A,1,3.01629,5.48999,0.5494163013,70.4,0.58575,0.329904
ENSG00000213047,Oran,Oran-A,A,1,4.18901,2.05789,2.0355849924,12.1,0.8519268135,0.412371
ENSG00000134376,Oran,Oran-A,A,1,18.0944,16.7006,1.0834580794,5.6,0.8239140947,0.459133
ENSG00000177888,Oran,Oran-A,A,1,1.02712,8.89341,0.1154922578,12.9,0.353038674,0.279121
ENSG00000066279,Oran,Oran-A,A,1,33.8568,33.8873,0.9990999578,0.421,0.7153834449,0.328517
ENSG00000073756,Oran,Oran-A,A,1,3.54872,7.21453,0.4918851263,39.2,0.7517669425,0.454545
ENSG00000143341,Oran,Oran-A,A,1,58.0887,75.7891,0.766451904,5.51,0.8792465753,0.384424
ENSG00000121486,Oran,Oran-A,A,1,5.02732,3.55331,1.4148273019,60.5,0.2223579719,0.377747
ENSG00000135842,Oran,Oran-A,A,1,12.4189,13.5379,0.9173431625,13.2,0.9258809524,0.564074
ENSG00000116406,Oran,Oran-A,A,1,2.00949,5.62426,0.3572896701,65.9,0.3476443769,0.376206
ENSG00000116701,Oran,Oran-A,A,1,3.03928,5.22252,0.5819566033,16.2,0.8114151554,0.621415
ENSG00000058085,Oran,Oran-A,A,1,10.736,15.4523,0.6947833009,9.28,0.9041411043,0.560377
ENSG00000198216,Oran,Oran-A,A,1,10.5397,40.3038,0.2615063592,2.16,0.9845613924,0.692069
ENSG00000135823,Oran,Oran-A,A,1,1.51179,3.72546,0.4057995523,111,0.4056707317,0.574219
ENSG00000135835,Oran,Oran-A,A,1,20.9524,14.5173,1.4432711317,50.5,0.6411811024,0.698618
ENSG00000143324,Oran,Oran-A,A,1,2.00177,4.03958,0.4955391402,66.4,0.6172053232,0.494978
ENSG00000135847,Oran,Oran-A,A,1,4.02063,2.61571,1.5371084715,192,0.2183972912,0.484099
ENSG00000116260,Oran,Oran-A,A,1,15.6175,18.0824,0.8636851303,206,0.6539256198,0.707358
ENSG00000135837,Oran,Oran-A,A,1,23.7177,32.0697,0.7395672551,31.7,0.4448336252,0.340155
ENSG00000162782,Oran,Oran-A,A,1,16.6712,6.62716,2.5155873708,0.99,0.847306525,0.418006
ENSG00000143322,Oran,Oran-A,A,1,4.95361,17.6772,0.2802259408,25.9,0.5310267857,0.507722
ENSG00000116194,Oran,Oran-A,A,1,2.00946,12.8173,0.1567771684,8.46,0.9174236253,0.426829
ENSG00000075391,Oran,Oran-A,A,1,2.0194,19.0159,0.1061953418,25.3,0.706066442,0.535433
ENSG00000120341,Oran,Oran-A,A,1,13.9616,24.1883,0.5772046816,58.5,0.8483558994,0.541314
ENSG00000198797,Oran,Oran-A,A,1,3.00323,11.4563,0.2621465918,13.2,0.9710810811,0.701149
ENSG00000152092,Oran,Oran-A,A,1,5.03282,27.9973,0.1797609055,23.4,0.8524666667,0.664725
ENSG00000116183,Oran,Oran-A,A,1,11.9478,22.9156,0.5213828135,2.17,0.9048742138,0.601415
ENSG00000135870,Oran,Oran-A,A,1,3.22333,14.5246,0.2219221183,21,0.4478323699,0.402194
ENSG00000117601,Oran,Oran-A,A,1,1.99435,7.78426,0.2562029018,3.49,0.9998203889,0.630108
ENSG00000094975,Oran,Oran-A,A,1,8.13078,10.3305,0.7870654857,54.1,0.2131294964,0.298101
ENSG00000117523,Oran,Oran-A,A,1,33.2096,50.0849,0.6630661137,161,0.2440047962,0.317212
ENSG00000120370,Oran,Oran-A,A,1,5.51134,2.65567,2.0753105619,59.2,0.5302727273,0.390374
ENSG00000007908,Oran,Oran-A,A,1,10.9812,6.5149,1.6855515818,12.5,0.8362902388,0.524126
ENSG00000117479,Oran,Oran-A,A,1,4.84805,4.23562,1.1445904023,53.2,0.623151751,0.53012
ENSG00000117477,Oran,Oran-A,A,1,8.12631,6.87481,1.1820413946,50.6,0.3503225806,0.354902
ENSG00000143156,Oran,Oran-A,A,1,1.22965,2.91648,0.4216212695,110,0.268221831,0.337037
ENSG00000143164,Oran,Oran-A,A,1,55.7962,39.3621,1.4175107527,462,0.6219812716,0.321304
ENSG00000143162,Oran,Oran-A,A,1,1.14944,9.32912,0.1232099062,213,0.756484327,0.7
ENSG00000143194,Oran,Oran-A,A,1,2.04192,6.1624,0.3313514215,28.1,0.7332954545,0.445977
ENSG00000143195,Oran,Oran-A,A,1,2.09274,11.4161,0.1833147923,20.6,0.6709809853,0.7344
ENSG00000143183,Oran,Oran-A,A,1,12.0815,12.5901,0.9596031803,279,0.4888554217,0.468421
ENSG00000143149,Oran,Oran-A,A,1,1.69487,5.12445,0.3307418357,469,0.6738636364,0.48583
ENSG00000143248,Oran,Oran-A,A,1,1.01184,2.04765,0.4941469489,244,0.7697440585,0.601156
ENSG00000162745,Oran,Oran-A,A,1,11.5506,16.1682,0.7144023453,21.8,0.6999543379,0.697736
ENSG00000118217,Oran,Oran-A,A,1,3.07143,6.29668,0.4877856267,106,0.8049363057,0.408683
ENSG00000162736,Oran,Oran-A,A,1,3.23645,8.0502,0.4020334899,312,0.1665424739,0.551304
ENSG00000122218,Oran,Oran-A,A,1,1.02995,18.6994,0.0550793074,301,0.353380102,0.524898
ENSG00000117036,Oran,Oran-A,A,1,1.01443,2.82506,0.359082639,47.6,0.3599926254,0.587891
ENSG00000027869,Oran,Oran-A,A,1,1.07495,4.08663,0.2630406961,4.37,0.9105346103,0.736434
ENSG00000143319,Oran,Oran-A,A,1,3.04884,2.11081,1.4443933845,86.3,0.303125,0.604585
ENSG00000163382,Oran,Oran-A,A,1,3.30721,3.78119,0.8746479283,728,0.3584474886,0.684825
ENSG00000163472,Oran,Oran-A,A,1,5.92793,3.85581,1.5374019985,23.8,0.4503948667,0.713198
ENSG00000132680,Oran,Oran-A,A,1,3.01371,2.6761,1.126157468,173,0.3099444444,0.398374
ENSG00000143367,Oran,Oran-A,A,1,8.08759,6.80581,1.1883361422,48.3,0.4607018156,0.652174
ENSG00000143437,Oran,Oran-A,A,1,4.19903,5.61356,0.7480155196,157,0.3890625,0.494845
ENSG00000131778,Oran,Oran-A,A,1,9.93867,8.15106,1.2193101265,214,0.6388030888,0.484199
ENSG00000116128,Oran,Oran-A,A,1,1.00838,11.6012,0.0869203186,90.3,0.5437823834,0.534688
ENSG00000162836,Oran,Oran-A,A,1,8.95543,8.57261,1.0446561782,274,0.5633039092,0.647196
ENSG00000143140,Oran,Oran-A,A,1,1.02767,4.54575,0.2260727053,82.2,0.7725144092,0.698324
ENSG00000116882,Oran,Oran-A,A,1,2.02078,5.37689,0.3758269185,0.569,0.8623245219,0.50838
ENSG00000116874,Oran,Oran-A,A,1,2.90461,8.33072,0.3486625406,60.6,0.5552813425,0.584488
ENSG00000065183,Oran,Oran-A,A,1,2.04893,13.3476,0.1535054991,77.7,0.3247933884,0.432519
ENSG00000198162,Oran,Oran-A,A,1,2.01752,4.14902,0.4862642263,97.1,0.3384963768,0.373832
ENSG00000116830,Oran,Oran-A,A,1,16.7181,17.7091,0.9440400698,28.2,0.4278418451,0.473545
ENSG00000134247,Oran,Oran-A,A,1,5.75565,18.7087,0.3076456408,76.4,0.6559079602,0.689205
ENSG00000173212,Oran,Oran-A,A,1,8.96111,7.20836,1.2431551698,8.54,0.7719120135,0.700831
ENSG00000175984,Oran,Oran-A,A,1,6.24559,12.0579,0.5179666443,7.72,0.2866467736,0.400438
ENSG00000197323,Oran,Oran-A,A,1,1.00537,5.07224,0.1982102582,61.9,0.2692076831,0.400596
ENSG00000118655,Oran,Oran-A,A,1,2.92466,7.04741,0.4149978503,24.5,0.2994537815,0.56391
ENSG00000134262,Oran,Oran-A,A,1,7.05281,8.38374,0.8412486551,131,0.2753342246,0.491892
ENSG00000134242,Oran,Oran-A,A,1,8.44495,5.15976,1.6366943424,1.2,0.9321946565,0.35316
ENSG00000081019,Oran,Oran-A,A,1,2.01723,4.32004,0.4669470653,33.1,0.546836983,0.466916
ENSG00000116793,Oran,Oran-A,A,1,5.073,7.45205,0.6807522762,29.1,0.388700291,0.391874
ENSG00000081026,Oran,Oran-A,A,1,7.7894,12.5367,0.6213277816,48.7,0.4183738796,0.403609
ENSG00000198799,Oran,Oran-A,A,1,6.05247,17.5303,0.3452576396,28,0.3545454545,0.454443
ENSG00000064703,Oran,Oran-A,A,1,8.15995,8.62574,0.9459999954,55.5,0.1570747801,0.427007
ENSG00000162777,Oran,Oran-A,A,1,1.02555,4.8362,0.2120569869,19.4,0.7553823529,0.611465
ENSG00000156171,Oran,Oran-A,A,1,3.02143,2.86122,1.0559935971,173,0.3334608844,0.370787
ENSG00000168679,Oran,Oran-A,A,1,2.96576,3.33254,0.8899398057,4.82,0.9887810945,0.424719
ENSG00000116396,Oran,Oran-A,A,1,4.68126,6.72386,0.6962161616,65,0.8589036419,0.846405
ENSG00000197106,Oran,Oran-A,A,1,12.2179,19.8754,0.6147247351,28.8,0.8471974817,0.812071
ENSG00000143093,Oran,Oran-A,A,1,1.4629,9.64001,0.1517529546,63.8,0.6477180527,0.696897
ENSG00000121957,Oran,Oran-A,A,1,17.7606,6.72255,2.6419439052,15.5,0.6932070707,0.345029
ENSG00000134186,Oran,Oran-A,A,1,1.017,5.09571,0.1995796464,397,0.2422440538,0.414679
ENSG00000162631,Oran,Oran-A,A,1,1.0121,5.10118,0.1984050749,10.5,0.7360504808,0.550186
ENSG00000117543,Oran,Oran-A,A,1,2.01857,5.0832,0.3971061536,136,0.5567198178,0.405594
ENSG00000162694,Oran,Oran-A,A,1,1.01134,4.10492,0.2463726455,29.3,0.5793398123,0.435045
ENSG00000162692,Oran,Oran-A,A,1,8.84471,11.4866,0.7700024376,47,0.91847981,0.428378
ENSG00000079335,Oran,Oran-A,A,1,4.94941,9.38546,0.5273486862,9.54,0.8070277361,0.444444
ENSG00000122477,Oran,Oran-A,A,1,4.07099,4.52766,0.8991377444,20.7,0.9738586617,0.386503
ENSG00000122435,Oran,Oran-A,A,1,5.04646,7.1454,0.7062529739,98.2,0.6192829457,0.3361
ENSG00000156876,Oran,Oran-A,A,1,3.06266,9.35368,0.3274283491,4.73,0.7195418848,0.31459
ENSG00000156869,Oran,Oran-A,A,1,23.6619,7.60786,3.1101913022,25.7,0.8914363354,0.393092
ENSG00000099260,Oran,Oran-A,A,1,5.469,10.8453,0.5042737407,56.6,0.9165057915,0.398551
ENSG00000117600,Oran,Oran-A,A,1,8.15903,17.6767,0.46156975,4,0.9797629839,0.546527
ENSG00000122481,Oran,Oran-A,A,1,1.05407,2.0014,0.5266663336,67.7,0.427842841,0.473881
ENSG00000117528,Oran,Oran-A,A,1,1.03567,8.87249,0.116728224,182,0.5670502092,0.394856
ENSG00000137936,Oran,Oran-A,A,1,7.10536,15.8149,0.4492826385,59.2,0.5836666667,0.66707
ENSG00000137942,Oran,Oran-A,A,1,1.01144,8.65297,0.1168893455,180,0.4417613636,0.353535
ENSG00000154511,Oran,Oran-A,A,1,5.00651,7.65287,0.6542003196,57.6,0.7327920962,0.353659
ENSG00000067208,Oran,Oran-A,A,1,2.9041,9.63251,0.3014894353,16.6,0.5281796502,0.375465
ENSG00000122484,Oran,Oran-A,A,1,4.23925,2.35295,1.8016744937,33,0.3339954597,0.338789
ENSG00000174842,Oran,Oran-A,A,1,8.006,2.12742,3.7632437412,16.9,0.2850471698,0.329412
ENSG00000097046,Oran,Oran-A,A,1,5.2772,2.83761,1.859734072,20,0.6612955729,0.344348
ENSG00000122482,Oran,Oran-A,A,1,7.35106,8.32812,0.8826794042,53.8,0.3020231214,0.298946
